"(x,y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(6, 120)",2017,08,8,123,130,Improved,1985,2731
"(6, 121)",2017,08,8,123,130,Improved,1985,2731
"(6, 122)",2017,08,8,123,130,Improved,1985,2731
"(6, 123)",2017,08,8,123,130,Improved,1985,2731
"(6, 124)",2017,08,8,123,130,Improved,1985,2731
"(6, 125)",2017,08,8,123,130,Improved,1985,2731
"(6, 126)",2017,08,8,123,130,Improved,1985,2731
"(6, 127)",2017,08,8,123,130,Improved,1985,2731
"(6, 128)",2017,08,8,123,130,Improved,1985,2731
"(6, 129)",2017,08,8,123,130,Improved,1985,2731
"(6, 130)",2017,08,8,123,130,Improved,1985,2731
"(6, 131)",2017,10,8,141,134,Model A,1995,2978
"(6, 132)",2017,10,8,141,134,Model A,1995,2978
"(6, 133)",2017,10,8,141,134,Model A,1995,2978
"(6, 134)",2017,10,8,141,134,Model A,1995,2978
"(6, 135)",2017,09,8,170,137,Model A,1994,3139
"(6, 136)",2017,09,8,170,137,Model A,1994,3139
"(6, 137)",2017,09,8,170,137,Model A,1994,3139
"(6, 138)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 139)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 140)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 141)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 142)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 143)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 144)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 145)",2017,09,8,536,145,Premium Apartment,1999,3345
"(6, 146)",2018,01,8,128,173,Apartment,1995,3353
"(6, 147)",2018,01,8,128,173,Apartment,1995,3353
"(6, 148)",2018,01,8,128,173,Apartment,1995,3353
"(6, 149)",2018,01,8,128,173,Apartment,1995,3353
"(6, 150)",2018,01,8,128,173,Apartment,1995,3353
"(7, 80)",2018,02,8,34,98,New Generation,1978,2582
"(7, 81)",2018,02,8,34,98,New Generation,1978,2582
"(7, 82)",2018,02,8,34,98,New Generation,1978,2582
"(7, 83)",2018,02,8,34,98,New Generation,1978,2582
"(7, 84)",2018,02,8,34,98,New Generation,1978,2582
"(7, 85)",2018,02,8,34,98,New Generation,1978,2582
"(7, 86)",2018,02,8,34,98,New Generation,1978,2582
"(7, 87)",2018,02,8,34,98,New Generation,1978,2582
"(7, 88)",2018,02,8,34,98,New Generation,1978,2582
"(7, 89)",2018,02,8,34,98,New Generation,1978,2582
"(7, 90)",2018,02,8,34,98,New Generation,1978,2582
"(7, 91)",2018,02,8,34,98,New Generation,1978,2582
"(7, 92)",2018,02,8,34,98,New Generation,1978,2582
"(7, 93)",2018,02,8,34,98,New Generation,1978,2582
"(7, 94)",2018,02,8,34,98,New Generation,1978,2582
"(7, 95)",2018,02,8,34,98,New Generation,1978,2582
"(7, 96)",2018,02,8,34,98,New Generation,1978,2582
"(7, 97)",2018,02,8,34,98,New Generation,1978,2582
"(7, 98)",2018,02,8,34,98,New Generation,1978,2582
"(7, 99)",2017,08,8,123,130,Improved,1985,2731
"(7, 100)",2017,08,8,123,130,Improved,1985,2731
"(7, 101)",2017,08,8,123,130,Improved,1985,2731
"(7, 102)",2017,08,8,123,130,Improved,1985,2731
"(7, 103)",2017,08,8,123,130,Improved,1985,2731
"(7, 104)",2017,08,8,123,130,Improved,1985,2731
"(7, 105)",2017,08,8,123,130,Improved,1985,2731
"(7, 106)",2017,08,8,123,130,Improved,1985,2731
